REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039144,15.3.5.1,10.3,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039145,15.3.5.2,6.8,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039146,15.3.6.1,6.9,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039147,15.3.6.2,5.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039148,15.3.7.1,42.1,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039149,15.3.7.2,22.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039150,15.3.8.1,9.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039151,15.3.8.2,9.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039152,15.3.9.1,62.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53039153,15.3.9.2,70.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53039154,15.3.10.1,56.6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed 5 or less years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53039155,15.3.10.2,63.6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53039156,15.4.1.1,158.4,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53039157,15.4.1.2,106.4,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53039158,15.4.2.1,103.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53039159,15.4.2.2,81.9,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53039160,15.4.3.1,97.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53039161,15.4.3.2,77.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53039162,15.4.4.1,78.6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039163,15.4.4.2,66.9,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039164,15.4.5.1,18.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039165,15.4.5.2,10.8,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039166,15.4.6.1,6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039167,15.4.6.2,4.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039168,15.4.7.1,55.3,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039169,15.4.7.2,24.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039170,15.4.8.1,5.8,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039171,15.4.8.2,5.1,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039172,15.4.9.1,65.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53039173,15.4.9.2,77,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53039174,15.4.10.1,61.4,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53039175,15.4.10.2,73,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53039176,15.5.1.1,732.9,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53039177,15.5.1.2,327.3,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53039178,15.5.2.1,406.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53039179,15.5.2.2,276.6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53039180,15.5.3.1,390,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53039181,15.5.3.2,266,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53039182,15.5.4.1,317.8,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039183,15.5.4.2,230.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039184,15.5.5.1,72.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039185,15.5.5.2,35.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039186,15.5.6.1,16.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039187,15.5.6.2,10.6,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039188,15.5.7.1,326.4,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039189,15.5.7.2,50.7,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039190,15.5.8.1,4.1,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039191,15.5.8.2,3.8,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039192,15.5.9.1,55.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53039193,15.5.9.2,84.5,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53039194,15.5.10.1,53.2,,,,1
2006,British Columbia,2016A000259,"Immigrants, landed more than 10 years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53039195,15.5.10.2,81.3,,,,1
2006,British Columbia,2016A000259,Born in Canada,Population,15 years and over,Persons,249,thousands,3,v53039196,15.6.1.1,2347,,,,1
2006,British Columbia,2016A000259,Born in Canada,Population,25 to 54 years,Persons,249,thousands,3,v53039197,15.6.1.2,1262,,,,1
2006,British Columbia,2016A000259,Born in Canada,Labour force,15 years and over,Persons,249,thousands,3,v53039198,15.6.2.1,1617.7,,,,1
2006,British Columbia,2016A000259,Born in Canada,Labour force,25 to 54 years,Persons,249,thousands,3,v53039199,15.6.2.2,1092.4,,,,1
2006,British Columbia,2016A000259,Born in Canada,Employment,15 years and over,Persons,249,thousands,3,v53039200,15.6.3.1,1542.4,,,,1
2006,British Columbia,2016A000259,Born in Canada,Employment,25 to 54 years,Persons,249,thousands,3,v53039201,15.6.3.2,1051.7,,,,1
2006,British Columbia,2016A000259,Born in Canada,Full-time employment,15 years and over,Persons,249,thousands,3,v53039202,15.6.4.1,1214.9,,,,1
2006,British Columbia,2016A000259,Born in Canada,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039203,15.6.4.2,890.4,,,,1
2006,British Columbia,2016A000259,Born in Canada,Part-time employment,15 years and over,Persons,249,thousands,3,v53039204,15.6.5.1,327.5,,,,1
2006,British Columbia,2016A000259,Born in Canada,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039205,15.6.5.2,161.3,,,,1
2006,British Columbia,2016A000259,Born in Canada,Unemployment,15 years and over,Persons,249,thousands,3,v53039206,15.6.6.1,75.3,,,,1
2006,British Columbia,2016A000259,Born in Canada,Unemployment,25 to 54 years,Persons,249,thousands,3,v53039207,15.6.6.2,40.6,,,,1
2006,British Columbia,2016A000259,Born in Canada,Not in labour force,15 years and over,Persons,249,thousands,3,v53039208,15.6.7.1,729.3,,,,1
2006,British Columbia,2016A000259,Born in Canada,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039209,15.6.7.2,169.6,,,,1
2006,British Columbia,2016A000259,Born in Canada,Unemployment rate,15 years and over,Percentage,242,units ,0,v53039210,15.6.8.1,4.7,,,,1
2006,British Columbia,2016A000259,Born in Canada,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039211,15.6.8.2,3.7,,,,1
2006,British Columbia,2016A000259,Born in Canada,Participation rate,15 years and over,Percentage,242,units ,0,v53039212,15.6.9.1,68.9,,,,1
2006,British Columbia,2016A000259,Born in Canada,Participation rate,25 to 54 years,Percentage,242,units ,0,v53039213,15.6.9.2,86.6,,,,1
2006,British Columbia,2016A000259,Born in Canada,Employment rate,15 years and over,Percentage,242,units ,0,v53039214,15.6.10.1,65.7,,,,1
2006,British Columbia,2016A000259,Born in Canada,Employment rate,25 to 54 years,Percentage,242,units ,0,v53039215,15.6.10.2,83.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Population,15 years and over,Persons,249,thousands,3,v53039216,16.1.1.1,1812.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Population,25 to 54 years,Persons,249,thousands,3,v53039217,16.1.1.2,1005.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Labour force,15 years and over,Persons,249,thousands,3,v53039218,16.1.2.1,1201.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Labour force,25 to 54 years,Persons,249,thousands,3,v53039219,16.1.2.2,843.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Employment,15 years and over,Persons,249,thousands,3,v53039220,16.1.3.1,1147.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Employment,25 to 54 years,Persons,249,thousands,3,v53039221,16.1.3.2,809.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Full-time employment,15 years and over,Persons,249,thousands,3,v53039222,16.1.4.1,931.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039223,16.1.4.2,700.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Part-time employment,15 years and over,Persons,249,thousands,3,v53039224,16.1.5.1,216.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039225,16.1.5.2,109.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Unemployment,15 years and over,Persons,249,thousands,3,v53039226,16.1.6.1,53.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Unemployment,25 to 54 years,Persons,249,thousands,3,v53039227,16.1.6.2,33.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Not in labour force,15 years and over,Persons,249,thousands,3,v53039228,16.1.7.1,611.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039229,16.1.7.2,162.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Unemployment rate,15 years and over,Percentage,242,units ,0,v53039230,16.1.8.1,4.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039231,16.1.8.2,3.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Participation rate,15 years and over,Percentage,242,units ,0,v53039232,16.1.9.1,66.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Participation rate,25 to 54 years,Percentage,242,units ,0,v53039233,16.1.9.2,83.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Employment rate,15 years and over,Percentage,242,units ,0,v53039234,16.1.10.1,63.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Total population,Employment rate,25 to 54 years,Percentage,242,units ,0,v53039235,16.1.10.2,80.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Population,15 years and over,Persons,249,thousands,3,v53039236,16.2.1.1,760.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Population,25 to 54 years,Persons,249,thousands,3,v53039237,16.2.1.2,413.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Labour force,15 years and over,Persons,249,thousands,3,v53039238,16.2.2.1,455.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Labour force,25 to 54 years,Persons,249,thousands,3,v53039239,16.2.2.2,331.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Employment,15 years and over,Persons,249,thousands,3,v53039240,16.2.3.1,432.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Employment,25 to 54 years,Persons,249,thousands,3,v53039241,16.2.3.2,315.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Full-time employment,15 years and over,Persons,249,thousands,3,v53039242,16.2.4.1,356.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039243,16.2.4.2,275.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Part-time employment,15 years and over,Persons,249,thousands,3,v53039244,16.2.5.1,75.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039245,16.2.5.2,40.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Unemployment,15 years and over,Persons,249,thousands,3,v53039246,16.2.6.1,23.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Unemployment,25 to 54 years,Persons,249,thousands,3,v53039247,16.2.6.2,16.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Not in labour force,15 years and over,Persons,249,thousands,3,v53039248,16.2.7.1,305,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039249,16.2.7.2,81.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Unemployment rate,15 years and over,Percentage,242,units ,0,v53039250,16.2.8.1,5.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039251,16.2.8.2,4.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Participation rate,15 years and over,Percentage,242,units ,0,v53039252,16.2.9.1,59.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Participation rate,25 to 54 years,Percentage,242,units ,0,v53039253,16.2.9.2,80.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Employment rate,15 years and over,Percentage,242,units ,0,v53039254,16.2.10.1,56.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,Landed immigrants,Employment rate,25 to 54 years,Percentage,242,units ,0,v53039255,16.2.10.2,76.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Population,15 years and over,Persons,249,thousands,3,v53039256,16.3.1.1,95.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53039257,16.3.1.2,64.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53039258,16.3.2.1,58.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53039259,16.3.2.2,45.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Employment,15 years and over,Persons,249,thousands,3,v53039260,16.3.3.1,53,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53039261,16.3.3.2,40.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53039262,16.3.4.1,44.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039263,16.3.4.2,35.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039264,16.3.5.1,8.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039265,16.3.5.2,5.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039266,16.3.6.1,5.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039267,16.3.6.2,4.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039268,16.3.7.1,36.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039269,16.3.7.2,19.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039270,16.3.8.1,9.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039271,16.3.8.2,9.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039272,16.3.9.1,61.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53039273,16.3.9.2,69.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53039274,16.3.10.1,55.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed 5 or less years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53039275,16.3.10.2,63.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53039276,16.4.1.1,141.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53039277,16.4.1.2,95.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53039278,16.4.2.1,92.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53039279,16.4.2.2,73.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53039280,16.4.3.1,86.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53039281,16.4.3.2,69.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53039282,16.4.4.1,69.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039283,16.4.4.2,59.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039284,16.4.5.1,16.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039285,16.4.5.2,9.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039286,16.4.6.1,5.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039287,16.4.6.2,4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039288,16.4.7.1,49.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039289,16.4.7.2,21.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039290,16.4.8.1,6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039291,16.4.8.2,5.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039292,16.4.9.1,65,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53039293,16.4.9.2,77.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53039294,16.4.10.1,61.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53039295,16.4.10.2,73.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53039296,16.5.1.1,523.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53039297,16.5.1.2,253.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53039298,16.5.2.1,304.9,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53039299,16.5.2.2,213.2,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53039300,16.5.3.1,292.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53039301,16.5.3.2,205.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53039302,16.5.4.1,242.3,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53039303,16.5.4.2,180.5,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53039304,16.5.5.1,50.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53039305,16.5.5.2,24.6,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53039306,16.5.6.1,12.4,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53039307,16.5.6.2,8.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53039308,16.5.7.1,218.7,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53039309,16.5.7.2,40,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53039310,16.5.8.1,4.1,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53039311,16.5.8.2,3.8,,,,1
2006,"Vancouver, British Columbia",2011S0503933,"Immigrants, landed more than 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53039312,16.5.9.1,58.2,,,,1
