REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53037461,1.3.3.2,374.7,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53037462,1.3.4.1,373.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037463,1.3.4.2,325.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53037464,1.3.5.1,76.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037465,1.3.5.2,48.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53037466,1.3.6.1,64.1,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53037467,1.3.6.2,48.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53037468,1.3.7.1,273.3,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037469,1.3.7.2,150.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53037470,1.3.8.1,12.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037471,1.3.8.2,11.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53037472,1.3.9.1,65.3,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53037473,1.3.9.2,73.7,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53037474,1.3.10.1,57.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53037475,1.3.10.2,65.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53037476,1.4.1.1,803,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53037477,1.4.1.2,563.9,,,,1
